question,answer
劇情 在三界傳說「一念遮天」清虛輪轉術修練到圓；茜可以達到什麼狀窓,元神歸於
劇情 在三界傳說「清虛舊夢」中師父為你煉製的法寶是什麼,清虛寶衣
劇情 在三界傳說《消虛舊夢》中第二次回溯誰殺了師傳,靈界修士
劇情 在三界傳說《清虛舊夢》中第二次回溯，師父為何而死,保護門人
劇情 在三界傳說《清虛舊夢》中第二次回溯誰殺了師父,靈界修士
劇情 坊市娘老闆的姪女是,ㄚ
劇情 大力士兄弟喜歡的凡人名字是哪一個,秀兒
劇情 大力師兄為了增強力量，使用了什麼修煉,血玉
劇情 天木大典後，身分假扮了“天狗”,黑無常
劇情太八卦中代表風,巽
劇情太極八卦代表山是什麼,太白金星
劇情太極八卦代表山是什麼,艮
劇情 師傅坐化後，清虛觀誰接手掌門之位,大力師兄
劇情 師傅競猜掛在謔邊的一句話是修行要義棲修行要義棲,從心所欲而不踰矩
劇情 師父競猜掛在謔邊的一句話是修行要義棲修行要義棲,從心所欲而不踰矩
劇情《清虛舊夢》中，你是什麼境界能夠回歸人界的,天帝與西王母
劇情《清虛舊夢》中，你是什麼境界能夠回歸人界的,返虛境界對應
劇情 《清虛舊夢》中第二^回溯 師父為何而死,保護門人
劇情《清虛舊夢》中，第二次回溯，魚問桃借什麼卜卦,古劍界
劇情《清虛舊夢》中，第二次回溯，魚問桃借什麼卜卦,幫助魚問桃飛升
劇情 清虛舊夢，你共輪了幾次,一千一百二十三次
劇情 《爐融萬物生金液真火百燎塑靈丹》指的是苦山六藝中的,煉丹
劇情申公豹沒有在下列哪一個靈界勢力待過,雷震子
劇情 異界修士為何接入遙修仙界,靈氣枯竭
劇情 異界至尊的弟子是誰,以劍入道
劇情 登仙台到底是靈界那一族的歸藏之地,靈族
劇情 神話故事精衛填海中，精衛為什麼要填海,報復大海
劇情 禦獸宗靈獸仙師，他的名字諱莫如深,李長庚
劇情第317章 靈界玉虛城主是誰,玉鼎真人
劇情與精衛爭奪羽族王位是什麼,雷震子
劇情 遊戲中的姊姊叫什麼名字,蕭情
劇情 遠古時代，天榻地陷，將天空補好是,女媧
劇情 遠古時代，天榻地陷，將天空補好是,返虛境界對應
劇情 鬼修支線中,修士誤入了哪裡
劇情 鬼修支線中，大師姊的真名是以下哪一個,蕭情
劇情 鬼道異途，師姐為何要在陰陽之間獨自修行,三展
劍修在戰鬥中最多可以同時擁有幾把飛劍,6
“劍歸逍遙”中，你在藏經閣獲得的劍訣叫什麼,萬劍訣
“劍歸逍遙”中，你是如何找到小藥童的,尋氣法陣
“劍歸逍遙”中，劍宗核心弟子服飾是什麼,玄劍藏鋒
“劍歸逍遙”中，劍宗藥童服飾叫什麼,藥香寶衣
“劍歸逍遙”中，古劍界天機宗之女的本命寶物叫什麼,問天玄星盤
“劍歸逍遙”中，大家被傳送到什麼地方,古劍界
“劍歸逍遙”中，小藥童以什麼入道,以劍入道
“劍歸逍遙”中小藥童為何離開清虛觀,被妖族蠱惑
“劍歸逍遙”中，是誰幫助大家返回逍遙修真界的,魚問桃
“劍歸逍遙”中返回逍遙修仙界的關鍵之物是什麼,寒天靈樟
“劍歸逍遙”劍宗大比在哪裡舉辦,洗劍池
“劍歸逍遙”綁架藥童的壞人提出用什麼交換小藥童,清虛玄元圖
勝敗兵家事不期,包羞忍恥是男兒
勝敗兵家事不期，下句,包羞忍恥是男兒
勸君更盡一杯酒,西出陽關無故人
十年一覺揚州夢,贏得青樓薄倖名
十年一覺揚州夢，下句,贏得青樓薄倖名
千呼萬喚始出來,猶抱琵琶半遮面
千呼萬喚始出來，下句,猶抱琵琶半遮面
千山鳥飛絕,萬徑人蹤滅
千山鳥飛絕，下句,萬徑人蹤滅
千磨萬擊還堅勁,任爾東西南北風
千磨萬擊還堅勁，下句,任爾東西南北風
千里鶯啼綠映紅,水村山郭酒旗風
千里鶯啼綠映紅，下句,水村山郭酒旗風
千里黃雲白日曛,北風吹雁雪紛紛
千里黃雲白日曛，下句,北風吹雁雪紛紛
千錘萬鑿出深山,烈火焚燒若等閒
千錘萬鑿出深山，下句,烈火焚燒若等閒
千門萬戶曈曈日,總把新桃換舊符
千門萬戶瞳瞳日，下句,總把新桃換舊符
半盞屠蘇猶未舉,燈前小草寫桃符
半盞屠蘇猶未舉，下句,燈前小草寫桃符
南朝四百八十寺,多少樓臺煙雨中
南朝四百八十寺，下句,多少樓臺煙雨中
卷地風來忽吹散,望湖樓下水如天
卷地風來忽吹散，下句,望湖樓下水如天
參加中天仙域拍賣行 是為了尋找甚麼,除惡靜心丸
參與跨服戰可獲得多少聲望,極多
又疑瑤臺鏡,飛在青雲端
又疑瑤臺鏡，下句,飛在青雲端
古修商店中無法購買哪種道具,功法點
古典傳說中，老子出函谷關的坐騎是,青牛
古寶注靈需要消耗哪種材料,星辰
古寶重置的冷卻時間是,24小時
只在此山中,雲深不知處
只在此山中，下句,雲深不知處
只緣身在此山中,不識廬山真面目
只緣身在此山中，上句,不識廬山真面目
召喚鬼使的法寶叫什麼,古魂幡
可以同時參與多少門派任務,4
可以同時從一個地方採集多少野生靈藥,40
可以同時裝備多少法寶,600
各領風騷數百年,江山代有才人出
各領風騷數百年，上句,江山代有才人出
向晚意不適,驅車登古原
向晚意不適，下句,驅車登古原
君問歸期未有期,巴山夜雨漲秋池
君看一葉舟,出沒風波裡
君看一葉舟，下句,出沒風波里
吾家洗硯池頭樹，下句,個個花開淡墨痕
咬定青山不放鬆,立根原在破巖中
咬定青山不放鬆，下句,立根原在破巖中
品極靈脈的儲量是多少,1000
哪一天無法參加萬妖寶境挑戰,週一
哪一天無法參與鎮魔深淵挑戰,週二/週四
哪個神通沒有致盲效果,幽判·斷傷曲
哪種效果可以被淨化,破神
哪種道具無法催熟靈植,天罡木
商女不知亡國恨,隔江猶唱後庭花
商女不知亡國恨，下句,隔江猶唱後庭花
問渠哪得清如許,為有源頭活水來
問渠那得清如許，下句,為有源頭活水來
四海無閒田,農夫猶餓死
四海無閒田，下句,農夫猶餓死
困魔境每日提供的收益類型為,星辰
在三界傳說「清虛舊夢」中，第一次回溯時，你第一個見到了誰,小師妹
在三界傳說“一念遮天”清虛輪轉術修煉到圓滿可以達到什麼狀態,元神歸墟
在三界傳說《清虛舊夢》中第一千一百二十三次回溯師父為何而死,保護你
在三界傳說“清虛舊夢”中，第二次回溯誰殺死了師傅,靈界修士
在主線任務中，你飛昇靈界遇到的第一個人是誰,太白金星
在地願為連理枝,在天願作比翼鳥
在地願為連理枝，上句,在天願作比翼鳥
在拍賣行購買一件極品裝備時，您需要支付多少金幣,千萬
在虛天之門 妖獸追獵 玩法中 妖獸出現的最多波次為,15次
坊市老闆娘的侄女是,芸丫
塵世難逢開口笑,菊花須插滿頭歸
塵世難逢開口笑，下句,菊花須插滿頭歸
壯心未與年俱老,睡猶能作鬼雄
壯心未與年俱老，下句,死去猶能做鬼雄
外域探寶10次需要消耗多少機緣,2000
多少綠荷相倚恨,一時回首背西風
多少綠荷相倚恨，下句,一時回首背西風
多情卻似總無情,一覺悟前笑不成
多情卻似總無情，下句,唯覺樽前笑不成
夜臥闌聽風吹雨,鐵馬冰河入夢來
夜闌臥聽風吹雨，下句,鐵馬冰河入夢來
大力師兄喜歡的凡人名字是哪個,秀兒
大力師兄心魔是什麼,給秀兒報仇
大力師兄為了增強實力，使用了什麼修煉,血玉
大境界渡劫時使用劫盾，可以抵禦多少雷劫傷害,0.6
大境界渡劫時使用靈盾，可以承受多少雷劫傷害,0.3
大境界渡劫時使用靈盾，可以抵禦多少雷劫傷害,0.3
大自在天的首領,饕餮
大道極塔玩法獲得的紅色法器叫什麼,極巔神兵圖
大道極巔玩法種獲得的紅色法器叫什麼,極巔神兵圖
大道無形，至道無名，掌握天地至理之力之後，境界將如何提升,超脫輪迴，人仙合一
大鑄劍師共有幾把絕世神劍,七把
大鵬一日同風起,扶搖直上九萬裡
大鵬一日同風起，下句,扶搖直上九萬里
天下誰人不識君,莫愁前路無知己
天下誰人不識君，上句,莫愁前路無知己
天地法則一共有幾本,12
天子呼來不上船,自稱臣是酒中仙
天子呼來不上船，下句,自稱臣是酒中仙
天木大典後，是誰假扮了“天狗”,黑無常
天機閣的修改為福袋不會出現多種類型的折扣,八折
天機閣的修為福袋不會出現哪種類型的折扣,八折
天機閣進貨將會消耗哪種道具,天機令
天機閣進貨需要消耗各種道具,天機令
天機閣進貨需要消耗各種道具,天機命令
天玄破事哪種靈獸的天賦技能,玄靈龜
天生我材必有用,千金散盡還復來
天生我材必有用，下句,千金散盡還復來
天道大會的冠軍稱號是,天道第一人
天階夜色涼如水,臥看牽牛織女星
天階夜色涼如水，下句,臥看牽牛織女星
太八卦中代表風的是,巽
太極八卦中代表地的是,坤
太極八卦中代表天的是,乾
太極八卦中代表山的是,艮
太極八卦中代表火的是,離
如今直上銀河去,同到牽牛織女家
如今直上銀河去，下句,同到牽牛織女家
姑蘇城外寒山寺,夜半鐘聲到客船
姑蘇城外寒山寺，下句,夜半鐘聲到客船
娉娉嫋嫋十三餘,豆蔻梢頭二月初
娉娉嫋嫋十三餘，下句,豆蔻梢頭二月初
孤帆遠影碧空盡,唯見長江天際流
孤帆遠影碧空盡，下句,唯見長江天際流
孤燈不明思欲絕,卷帷望月空長嘆
孤舟蓑笠翁,獨釣寒江雪
孤舟蓑笠翁，下句,獨釣寒江雪
宗門亂鬥活動單場最多幾個宗門參與,無上限
宗門亂鬥活動是周幾進行,週六
宗門事務同時最多儲存多少個,25
宗門事務最多同時存儲多少個,25
宗門事務未達到上限的情況下，一天可以刷新多少個,5
宗門事務的事務令有什麼作用,提升事務等級
寒雨連江夜入吳,送客楚山孤
寒雨連江夜入吳，下句,平明送客楚山孤
將夜明珠送給仙友，可以增加多少好感度,20
將松鶴圖送給仙友，可以增加多少好感度,300
將洛神賦送給仙友，可以增加多少好感度,1000
小世界中子收穫最多可以累計多少天,10
小世界引靈需要消耗什麼道具,尋仙命引
小世界抽取天象需要消耗什麼道具,天象玉
小時不識月,呼作白玉盤
小時不識月，下句,呼作白玉盤
小樓一夜聽春雨,深巷明朝賣杏花
小樓一夜聽春雨，下句,深巷明朝賣杏花
小荷才露尖尖角,早有蜻蜓立上頭
小荷才露尖尖角，下句,早有蜻蜓立上頭
山河斬妖的紅品寶珠每次計算數量加多少,40%
山重水複疑無路,柳暗花明又一村
山重水複疑無路，下句,柳暗花明又一村
師傅坐化後，清虛觀誰接替了掌門之位,大力師兄
師傅竟猜掛在嘴邊的一句話是，修行要義在於,從心所欲而不逾矩
床前明月光,疑是地面霜
床前明月光，下句,疑是地上霜
忽如一夜春風來,千樹萬樹梨花開
忽如一夜春風來，下句,千樹萬樹梨花開
惆悵東欄一株雪,人生看得見幾清明
惆悵東欄一株雪，下句,人生看得幾清明
想要從人界飛昇靈界，至少需要達到什麼境界,化神對應境界
想要從合體修煉到大乘境界，需要過什麼關,熒惑守心
想要提升寵物的資質，需要消耗多少靈獸丹,無數
想要獲得道號八荒至尊，需要在八荒逐鹿中達成什麼條件,擊破第一
想要獲得道號 多寶道人，需要累計煉製多少件橙色裝備,100
想要獲得道號 逆行為仙，需要累計突破境界失敗多少次,100次
想要飛昇仙界需要經歷什麼,九重仙劫
慈母手中線,遊子身上衣
慈母手中線，下句,遊子身上衣
慈母手線,遊子身上衣
應憐屐齒印蒼苔,小扣柴扉久不開
應憐屐齒印蒼苔，下句,小扣柴扉久不開
懸賞令最多可以同時儲存多少個,15個
懸賞令最多可以同時存儲多少個,15個
成為仙盟盟主可獲得哪些獎勵,無上榮耀
成為門派掌門後可獲得哪些特權,統領門派
成道之路中無法獲得以下哪種屬性加成,會心倍率
我們家洗硯池頭樹,朵朵花開淡墨痕
我寄愁心與明月,隨君直到夜郎西
我寄愁心與明月，下句,隨君直到夜郎西
我最橫刀向天笑,去留肝膽兩崑崙
