question,answer
人界再次有一個寶地叫做野狼谷，修士歷練最有機會獲得,一階妖丹
人界能夠鑑定獸魂石的靈獸仙師出自什麼宗門,御獸宗
今人不見古時月,今月曾照古人
今夕復何夕,共此燈燭光
他年我若為青帝,報與桃花一處開
仙人撫我頂,結髮受長生
仙友錄仙友感度的突破材料為,池瑤玉液
仙靈金吒的絕技效果為,增加被動屬性
仙魔決中商店無法購買下面哪種道具,升星石
仙魔法寶煞腕可以消融目標多少比例的真元護盾,0.6
以下不屬於奇遇廣寒界活動領域是,琉璃界
以下不屬於靈族的仙靈是,精衛
以下不屬於鬼族的仙靈,鐵扇公主
以下各種道具可以領悟學習神通之法,神通要訣
以下哪一個不是群攻神通,太一神光·土
以下哪一種仙魔法寶都屬於仙修,圖
以下哪個不是古寶注靈所需的材料,優品星塵
以下哪個本源無法透過天象取得,流鳳古界
以下哪個神通不帶有定身效果,揮毫筆
以下哪個神通可以提供真元護盾,御龍決
以下哪個神通無須消耗飛劍就能打出,天罡劍法
以下哪個鑄寶是紫色品質,滅靈神槍
以下哪種方式不屬於成道之路證道方向,法則證道
以下無法在混沌榜單操作的是,組隊
以下神通可以防禦,絕世神鋒
以下神通沒有免疫效果,隱天劍式
以下神通沒有附帶淨化效果,萬劍訣無涯
以下須彌山的成員是,姜子牙
但使龍城飛將在,不教胡馬度陰山
何當共剪西窗燭光,話巴山夜雨時
你在仙界第一次量劫是,神木量劫
使用什麼道具可以一鍵完成仙友宴請,桃源鏡
保底獲得星海瓶需要多少造化值,5000
修此道以文載道，以本命字遨遊天地文海 形容的是哪個修練方向,聖儒
修此道者神魂強大，眼望幽冥，念入輪轉 形容的是哪個修練方向,馭鬼
修練到人仙境界需要多少年,400年
修練到人界之主的時候，消耗會增加多少年,萬萬年
修練到化神期可以召喚出什麼樣的靈獸,上古神獸
修練到合體期的時候，人物會發生什麼變化,全身金光
修練到天仙境需要消耗多少靈石,500
修練到天尊境界可以掌握多少種神通,無窮無盡
修練到太上境界可以開啟哪些特權,...
修練到渡劫期時，全身的經脈會發生什麼變化,通體透明
修練到神王境界時每日自動恢復多少血量,0.005
修練至九重天需要消耗多少靈石,二千
修練至某個境界時血量會增加90%，請問在修練介面哪裡查看具體數值,一日千里
借問酒家何處有,牧童遙指杏花村
停車坐愛楓林晚,霜葉紅於二月花
僵臥孤村不自哀,尚思為國戍輪臺
兒童散學回來早,忙趁東風放紙鳶
兩岸青山相對出,孤帆一片日邊來
兩情若是長久時,又豈在朝朝暮暮
兩隻黃鸝鳴翠柳,一行白鷺上青天
六朝文物草連空,天淡雲閒古今同
六道輪迴轉世可以保留多少記憶,八成記憶
出師一表真名世,千載誰堪伯仲間
出師未捷身先死,長使英雄淚流滿面
出風十里揚州路,捲上珠簾總不知
劇情 《清虛舊夢》中師傅為你煉製的法寶是,清虛寶衣
劇情 《清虛舊夢》中第二^回溯 師父為何而死,保護門人
劇情 《爐融萬物生金液真火百燎塑靈丹》指的是苦山六藝中的,煉丹
劇情 「一念遮天」中，葉仙友是什麼體質,聖體
劇情 「一念遮天」中，葉仙友是什麼體質,白骨夫人
劇情 「清虛舊夢」第T-百二十三次回溯天道變幻為什麼,真龍
劇情 一念遮天中，葉仙友給你的防身法衣是什麼聚集而成的,玄黃母氣
劇情 三界傳說~一念遮天」封印在神木古棺中的身份,魔帝
劇情 三界傳說“一念遮天” 禁書與什麼有關,輪迴 重生
劇情 三界傳說《劍歸消遙》劍宗大比多少年一次,100年
劇情 三界傳說《劍歸消遙》劍宗大比幾年一次,100年
劇情 三界傳說《劍歸逍遙》古劍界天機宗之女叫什麼,魚問桃
劇情 三界傳說《劍歸逍遙》大家是如何返回逍遙修仙界的,以劍破界
劇情 三界傳說《清虛舊夢》中 人界群體宗門為何會圍攻清虛觀去,為了飛升之法
劇情 三界傳說「一念週天」中三界上乾宗門和世家失蹤的秘術與什麼有關,輪迴
劇情 三界傳說「一念遮天」劍歸逍遙」湧虛觀失竊的秘術叫什麼,清虛輪轉術
劇情 三界傳說「一念遮天」三界上千宗門和世界失蹤的秘術與什麼有關,輪迴
劇情 三界傳說「一念遮天」中 封印在神木古棺的是,魔帝
劇情 三界傳說「一念遮天」中 封印在神木古棺的是誰,魔帝
劇情 三界傳說「一念遮天」中 誰主持了魔帝復活儀式,李長庚
劇情 三界傳說「一念遮天」中黑帝不小心用火燒了靈獸仙師什麼,鬍子
劇情 三界傳說「一念遮天」凡人或修士死後魂歸冥府忘川化為什麼,忘川魂液
劇情 三界傳說「一念遮天」天氣預報金在三界傳說簡中記載什麼,成道路顯
劇情 三界傳說「一念遮天」天氣預報金簡的主人是誰,天機老人
劇情 三界傳說「一念遮天」庭帝的葬地在那裡,隕魔山
劇情 三界傳說「一念遮天」李長庚靈蚊的天賦秘術能夠持續多久,—月
劇情 三界傳說「一念遮天」胖道人是誰,吳良道士
劇情 三界傳說「一念遮天」預言金簡的主人是誰,天機老人
劇情 三界傳說「劍歸逍遙」是誰催熟了寒天靈樺,靈參
劇情 三界傳說百科全書《長生啟道書》中主角獲得什麼修仙法門,長生訣
劇情 三界傳說百科聞《長生啟道書》中 主角獲得了什麼修仙法門,長生訣
劇情 上古兇獸餐象徵什麼,貪婪
劇情 下列哪一位不是三皇之一,蚩尤
劇情 下列哪一個古寶不屬於破天三寶,誅邪劍
劇情 人界劇情中,論劍門人的真名是
劇情 人界劇情中 論劍門人的真名是,靈珠子
劇情 人界登仙台的由來是,靈界空間碎片
劇情 人界能鑑定獸魂石的靈獸仙師出自什麼宗門,靈珠
劇情 人界能鑑定獸魂石的靈獸仙師出自什麼宗門,東勝神洲
劇情 仙友紅拂女在遊戲中是什麼種族,火靈族
劇情 仙魔大戰仙人煉製了四象禦極至寶以下古寶中 不屬於範疇的,真武焚魔劍
劇情 你飛昇仙界後參加的第一場盛會是,天木大比
劇情 劇情三界傳說百科記聞中丹材品質最高品質是,仙品
劇情 在三界傳說《消虛舊夢》中第二次回溯誰殺了師傳,靈界修士
劇情 在三界傳說《清虛舊夢》中第二次回溯誰殺了師父,靈界修士
劇情 在三界傳說《清虛舊夢》中第二次回溯，師父為何而死,保護門人
劇情 在三界傳說「一念遮天」清虛輪轉術修練到圓；茜可以達到什麼狀窓,元神歸於
劇情 在三界傳說「清虛舊夢」中師父為你煉製的法寶是什麼,清虛寶衣
劇情 坊市娘老闆的姪女是,ㄚ
劇情 大力士兄弟喜歡的凡人名字是哪一個,秀兒
劇情 大力師兄為了增強力量，使用了什麼修煉,血玉
劇情 大鑄劍師共同幾把絕世神劍,七把
劇情 大鑄劍師共同幾把絕世神劍,聖體
劇情 天木大典後，身分假扮了“天狗”,黑無常
劇情 太極八卦中代表地的是,坤
劇情 師傅坐化後，清虛觀誰接手掌門之位,大力師兄
劇情 師傅競猜掛在謔邊的一句話是修行要義棲修行要義棲,從心所欲而不踰矩
劇情 師父競猜掛在謔邊的一句話是修行要義棲修行要義棲,從心所欲而不踰矩
劇情 清虛舊夢，你共輪了幾次,一千一百二十三次
劇情 清虛觀屬於人界什麼洲,東勝神洲
劇情 清虛觀屬於人界什麼洲,靈珠
劇情 異界修士為何接入遙修仙界,靈氣枯竭
劇情 異界至尊來自什麼地方,大自在天
劇情 異界至尊的弟子是誰,以劍入道
劇情 登仙台到底是靈界那一族的歸藏之地,靈族
劇情 神話故事後羿射日中 後羿最終射下幾個太陽,9
劇情 神話故事精衛填海中，精衛為什麼要填海,報復大海
劇情 禦獸宗靈獸仙師，他的名字諱莫如深,李長庚
劇情 精衛填海精衛是誰的女兒,炎帝
劇情 芸娘是什麼身分,大妖血脈
劇情 芸娘身上有什麼血脈,青巒
劇情 華林仙子屬於仙界什麼勢力,瑤池
劇情 遊戲中的姊姊叫什麼名字,蕭情
劇情 遠古時代，天榻地陷，將天空補好是,女媧
劇情 遠古時代，天榻地陷，將天空補好是,返虛境界對應
劇情 金吒的師父是誰,玉鼎真人
劇情 鎮妖塔底的妖王是誰,鬼車
劇情 靈獸仙師的黑童口中所說的靈狐一組是哪裡的,青丘國
劇情 靈界與巫族爭鬥數千年的是什麼勢力,靈族
劇情 靈界鬼帝的名字是,沉薑
劇情 須彌山是什麼勢力在靈界的代表,玄黃母氣
劇情 鬼修支線中,修士誤入了哪裡
劇情 鬼修支線中，大師姊的真名是以下哪一個,蕭情
劇情 鬼帝沉姜在下界之前是什麼身份,清虛玄元圖
劇情 鬼道異途，師姐為何要在陰陽之間獨自修行,三展
劇情 鬼道異途，為尋找鬼劍無名，擺渡使懸賞多少機緣,三千機緣
劇情 鬼道異途，為尋找鬼劍無名，擺渡使懸賞多少機緣,天庭為了報仇
劇情《一念遮天》中你藉助什麼擋底不滅金刀,被妖族蠱惑 白骨夫人
劇情《一念遮天》中你藉助什麼擋底不滅金刀,被妖族蠱惑
劇情《一念遮天》中，復活是鬼帝的什麼,惡念
劇情《一念遮天》中，復活是鬼帝的什麼,復活白蛟靈尋氣法陣
劇情《一念遮天》中，李長庚施展禁術是為了什麼,復活白蛟靈
劇情《一念遮天》中，李長庚施展禁術是為了什麼,玄劍藏鋒
劇情《一念遮天》中，清虛輪轉術最終變成了,盤古輪轉術
劇情《一念遮天》中，讓紅毛怪物暫時恢復明亮的寶物是什麼,東皇鐘
劇情《一念遮天》中，遠古時期是誰封印了遠古魔族,天帝與西王母
劇情《一念遮天》中，遠古時期是誰封印了遠古魔族,頭髮
劇情《一念遮天》中，黑帝關鍵時刻帶來了誰的法旨,東皇太一
劇情《一念遮天》中，黑帝關鍵時刻帶來了誰的法旨,萬劍訣惡念
劇情《劍劍歸逍遙》劍宗大比在哪裡舉辦,禦獸宗
劇情《劍歸逍遙》中,你是如何找到小藥童的
劇情《劍歸逍遙》中,劍宗核心弟子服飾是什麼
劇情《劍歸逍遙》中 你是如何找到小藥童的,仙界星官
劇情《劍歸逍遙》中 劍宗核心弟子服飾是什麼,玄劍藏鋒
劇情《劍歸逍遙》中小藥童為何離開清虛觀,女媧
劇情《劍歸逍遙》中返回逍遙修仙界的關鍵之物是什麼,寒天靈樟
劇情《劍歸逍遙》中返回逍遙修仙界的關鍵之物是什麼,七把
劇情《劍歸逍遙》中，你在藏經閣獲得的劍訣叫什麼,萬劍訣
劇情《劍歸逍遙》中，你在藏經閣獲得的劍訣叫什麼,三幹機緣
劇情《劍歸逍遙》中，劍宗藥童服飾叫什麼,藥香寶衣
劇情《劍歸逍遙》中，古劍界天機宗之女的本命寶物叫什麼,問天玄星盤
劇情《劍歸逍遙》中，大家被傳送到什麼地方,魚問桃
劇情《劍歸逍遙》中，小藥童以什麼入道,以劍入道
劇情《劍歸逍遙》中，小藥童以什麼入道,東皇太一
劇情《劍歸逍遙》中，是誰幫助大家返回逍遙修真界的,魚問桃
劇情《劍歸逍遙》中，是誰幫助大家返回逍遙修真界的,沉薑
劇情《清虛舊夢》中，二次回溯靈臺宗為何背叛清虛觀,幫助魚問桃飛升
劇情《清虛舊夢》中，二次回溯靈臺宗為何背叛清虛觀,古劍界
劇情《清虛舊夢》中，你是什麼境界能夠回歸人界的,返虛境界對應
劇情《清虛舊夢》中，你是什麼境界能夠回歸人界的,天帝與西王母
劇情《清虛舊夢》中，第二次回溯，魚問桃借什麼卜卦,古劍界
劇情《清虛舊夢》中，第二次回溯，魚問桃借什麼卜卦,幫助魚問桃飛升
劇情「一念遮天」中傳聞上最後一位模特兒道祖是誰,東皇太一
劇情「一念遮天」中，未完善的清虛輪轉術共有幾層,三展
劇情「一念遮天」中，魔帝帝子是誰殺害的,葉仙友
劇情「一念遮天」外部生出紅毛而後消失不見的仙王是,禦獸仙王
劇情「一念遮天」誰是東皇的後人,東皇太一
劇情「一念遮天」誰是東皇的後人,蒙特內哥
劇情「劍歸逍遙」綁架藥童的壞人提出用什麼交換小藥童,清虛玄元圖
劇情三界傳說「劍歸逍遙」打架傳送到異世界有幾個太陽(答案不確定),玉虛城
劇情三界傳說「劍歸逍遙」打架傳送到異世界有幾個太陽(答案不確定),良
劇情三界傳說「劍歸逍遙」，劍宗核心弟子服飾是什麼,玄劍藏鋒
劇情三界傳說風物圖志記載三界傳說什麼,天道大會
劇情在主線任務中，你飛升靈界遇到的第一個人是誰,雷震子
劇情太八卦中代表風,巽
劇情太極八卦中代表天的是,乾
劇情太極八卦中代表天的是,幹
劇情太極八卦中代表火的是,離
劇情太極八卦中代表火的是,玉虛城
劇情太極八卦代表山是什麼,艮
劇情太極八卦代表山是什麼,太白金星
劇情漢化的創造者是誰,倉頡
劇情申公豹沒有在下列哪一個靈界勢力待過,雷震子
劇情第317章 靈界玉虛城主是誰,玉鼎真人
劇情與精衛爭奪羽族王位是什麼,雷震子
劍修在戰鬥中最多可以同時擁有幾把飛劍,6
勝敗兵家事不期,包羞忍恥是男兒
勸君更盡一杯酒,西出陽關無故人
十年一覺揚州夢,贏得青樓薄倖名
千呼萬喚始出來,猶抱琵琶半遮面
千山鳥飛絕,萬徑人蹤滅
千磨萬擊還堅勁,任爾東西南北風
千里鶯啼綠映紅,水村山郭酒旗風
千里黃雲白日曛,北風吹雁雪紛紛
千錘萬鑿出深山,烈火焚燒若等閒
千門萬戶曈曈日,總把新桃換舊符
半盞屠蘇猶未舉,燈前小草寫桃符
南朝四百八十寺,多少樓臺煙雨中
卷地風來忽吹散,望湖樓下水如天
參加中天仙域拍賣行 是為了尋找甚麼,除惡靜心丸
參與跨服戰可獲得多少聲望,極多
又疑瑤臺鏡,飛在青雲端
古修商店中無法購買各種道具,功法點
古典傳說中，老子出函谷關的坐騎是,青牛
古寶注靈需要消耗哪種材料,破神
只在此山中,雲深不知處
只緣身在此山中,不識廬山真面目
召喚鬼使的法寶叫什麼,古魂幡
可以同時參與多少門派任務,4
可以同時從一個地方採集多少野生靈藥,40
可以同時裝備多少法寶,600
各種道具無法催熟靈植,天罡木
各領風騷數百年,江山代有才人出
向晚意不適,驅車登古原
君問歸期未有期,巴山夜雨漲秋池
君看一葉舟,出沒風波裡
咬定青山不放鬆,立根原在破巖中
品極靈脈的儲量是多少,1000
哪一天無法參加萬妖寶境挑戰,週一
哪一天無法參與鎮魔深淵挑戰,週二/週四
哪個神通沒有致盲效果,幽判·斷傷曲
哪種效果可以被淨化,星辰
商女不知亡國恨,隔江猶唱後庭花
問渠哪得清如許,為有源頭活水來
四海無閒田,農夫猶餓死
困魔境每日提供的收益類型為,星辰
在三界傳說《清虛舊夢》中第一千一百二十三次回溯師父為何而死,保護你
在三界傳說「清虛舊夢」中，第一次回溯時，你第一個見到了誰,小師妹
在地願為連理枝,在天願作比翼鳥
在拍賣行購買一件極品裝備時，您需要支付多少金幣,千萬
在虛天之門 妖獸追獵 玩法中 妖獸出現的最多波次為,15次
塵世難逢開口笑,菊花須插滿頭歸
壯心未與年俱老,睡猶能作鬼雄
多少綠荷相倚恨,一時回首背西風
多情卻似總無情,一覺悟前笑不成
夜臥闌聽風吹雨,鐵馬冰河入夢來
大力師兄心魔是什麼,給秀兒報仇
大境界渡劫時使用靈盾，可以承受多少雷劫傷害,0.3
大自在天的首領,饕餮
大道極塔玩法獲得的紅色法器叫什麼,極巔神兵圖
大道無形，至道無名，掌握天地至理之力之後，境界將如何提升,超脫輪迴，人仙合一
大鵬一日同風起,扶搖直上九萬裡
天下誰人不識君,莫愁前路無知己
天地法則一共有幾本,12
天子呼來不上船,自稱臣是酒中仙
天機閣的修改為福袋不會出現多種類型的折扣,八折
天機閣進貨需要消耗各種道具,天機令
天機閣進貨需要消耗各種道具,天機命令
天生我材必有用,千金散盡還復來
天階夜色涼如水,臥看牽牛織女星
太極八卦中代表地的是,坤
如今直上銀河去,同到牽牛織女家
姑蘇城外寒山寺,夜半鐘聲到客船
娉娉嫋嫋十三餘,豆蔻梢頭二月初
孤帆遠影碧空盡,唯見長江天際流
孤燈不明思欲絕,卷帷望月空長嘆
孤舟蓑笠翁,獨釣寒江雪
宗門亂鬥活動單場最多幾個宗門參與,無上限
宗門事務同時最多儲存多少個,25
寒雨連江夜入吳,送客楚山孤
小世界中子收穫最多可以累計多少天,10
小時不識月,呼作白玉盤
小樓一夜聽春雨,深巷明朝賣杏花
小荷才露尖尖角,早有蜻蜓立上頭
山重水複疑無路,柳暗花明又一村
床前明月光,疑是地面霜
忽如一夜春風來,千樹萬樹梨花開
惆悵東欄一株雪,人生看得見幾清明
想要提升寵物的資質，需要消耗多少靈獸丹,無數
慈母手中線,遊子身上衣
慈母手線,遊子身上衣
應憐屐齒印蒼苔,小扣柴扉久不開
懸賞令最多可以同時儲存多少個,15個
成為仙盟盟主可獲得哪些獎勵,無上榮耀
成為門派掌門後可獲得哪些特權,統領門派
我們家洗硯池頭樹,朵朵花開淡墨痕
我寄愁心與明月,隨君直到夜郎西
我最橫刀向天笑,去留肝膽兩崑崙
我欲乘風歸去,又恐瓊樓玉宇
戰戰競競，如臨深淵,如履薄冰
打開一個高級寶箱需要消耗多少靈石,"200,000"
折戟沉沙鐵未銷,自將磨洗認前朝
抽刀斷水水更流,舉杯消愁愁更愁
拍賣行上架最低價是多少天命,50
拍賣行上架道具被其他仙友買走後將獲得各種貨幣,機緣
接天蓮葉無窮碧,映日荷花別樣紅
提升寵物的等級到滿級需要多少經驗,無數
故人西辭黃鶴樓,煙花三月下揚州
文章千古事,得失寸心知
施展一次禁忌神通需要耗費多少法力,全身法力
日出江花紅勝火,春來江水綠如藍
日暮東風怨啼鳥,落花猶似墜樓人
日照香爐生紫煙,遙看瀑布掛前川
明日隔山嶽,世事兩茫茫
明月何時照我還,燕然未勒歸無計
明月出天山,蒼茫雲海間
映陰曹一角降世，單此界靈土，削魂厄魄，如陷鬼沼,冥術陰曹暗
春城暗示飛花,寒食東風禦柳斜
春宵一刻值千金,花有清香月有陰
春潮帶雨晚來急,野渡無人舟自橫
春色滿園關不住,一枝紅杏出牆來
春蠶到死絲方盡,蠟炬成灰淚始幹
曉看紅濕處,花重錦官城
月落烏啼霜滿天,江楓漁火對愁眠
有人問我修行法,只種心田養此身
本命鑄造幾階解鎖,八階
李白乘舟將欲行,忽聞岸上踏歌聲
東風不與周郎便,銅雀春深鎖二喬
松下問童子,言師採藥去
桃花潭水深千尺,不及汪倫送我情
楊柳依依,昔我往矣
楊花落盡子規啼,聞道龍標過五溪
橙色突破丹藥可以增加多少突破率,0.4
橫看成嶺側成峰,遠近高低各不同
欲將西湖比西子,淡妝濃抹總相宜
欲窮千里目,更上一層樓
正是江南好風景,落花時節又逢君
此手段無窮無盡，又具有金剛不壞之力，達到武道乾陽之極,封魔困龍手
此為呂仙觀雨所悟，劍出如驟雨，一劍疾出，速擊兩人次,驟雨劍法
每一次宗門大戰最多可以復活幾次,5
每一次跨服戰的獎勵是什麼,神器法寶
每件上品鑄寶共有多少種外觀,3種
每天最多可獲得幾個懸賞任務,3個
每提升一級修改為，可以增加多少點悟性,500
每日修練一次的靈氣上限需要多少,30
每日可免費建造宗門數次,1次
每週開啟多少鎮魔深淵玩法,3
每門派最多可容納多少名弟子,100
水光瀲灩晴方好,山色空濛雨亦奇
江上往來人,但愛海鰣魚美
江東子弟多才俊,捲土重來未可知
江涵秋影雁初飛,與客攜壺上翠微
江碧鳥逾白,山青花欲燃
沉舟側畔千帆過,病樹前頭萬木春
泉眼無聲惜細流,樹陰照水愛晴柔
波震嶽陽城,氣蒸雲夢澤
泥融飛燕子,沙暖睡鴛鴦
洛陽親友如相見,一片冰心在玉壺
海上明月共潮生,春江潮水連海平
深層開啟鎮魔深淵，可以在鎮魔秘境中停留多久,10分鐘
清明時節雨紛紛,路上行人慾斷魂
清時有味是無能,閒愛孤雲靜愛僧
清虛舊夢，你共輪了幾次,一千一百二十三次
湖光秋月兩相和,潭面無風鏡未磨
溪柴火軟蠻氈暖,我與狸奴不出門
溪雲初起日沉閣,山雨欲來風滿樓
濁酒一杯家萬裡,燕然未勒歸無計
為伊消得人憔悴,衣帶漸寬終不悔
無可奈何花落去,似曾相識燕歸來
無法用哪種道具購買琳瑯寶闕的時裝,九玄仙玉
無邊落木蕭蕭下,不盡長江滾滾來
煉器大會第三天解鎖的清單是,飾品
煉器大會首日解鎖的榜單是,武器
煉製一件仙器需要多少種材料,九九八十一
煉製一件神兵利器需要多長時間,數百年
煉製一件神器需要耗費多少種天材地寶,萬種靈寶
煉製一件聖器需要耗費多少種天材地寶,世間珍寶
煉製一本聖級功法需要多少天,400天
煉製一爐丹藥平均需要消耗多少靈草,山海之數
煉製一爐丹藥需要多長時間,2個時辰
煉製一顆九轉金丹需要多少種靈藥,諸般靈藥
煉製仙丹需要多少種靈藥,數十種
煙籠寒水月籠沙,夜泊秦淮近酒家
燭光銀秋光冷畫屏,輕羅小扇撲流螢
爆竹聲中一歲除,春風送暖入屠蘇
狂風落盡深紅色,綠葉成陰子滿枝
獨在異鄉為異客,每逢佳節倍思親
王師北定中原日,家祭無忘告乃翁
生當作人傑,死亦為鬼雄
用於啟動功法點大節點額外增加成的道具是,功法要訣
畢竟西湖六月中,清澈不與四時同
異界至尊來自什麼地方,大自在天
病樹前頭萬木春,沉舟側畔千帆過
痛飲狂歌空度日,飛揚跋扈為誰雄
白日依山盡,黃河入海流
白日放歌須縱酒,青春作伴好還鄉
白毛浮綠水,紅掌撥清波
直掛雲帆濟滄海,長風破浪會有時
相看兩不厭,只有敬亭山
相見時難別亦難,東風無力百花殘
真元護盾/血盾可以承受多少比例的傷害,0.8
真元護盾承受10點傷害需要消耗多少真元,5
神話故事精衛填海中，精衛為什麼要填海,報復大海
神通施放消耗自身氣血,冥術寂滅
神遊三界的遊戲歷需要消耗各種道具/,神遊引靈書
福靈寶庫刷新時間,每月1日
福靈寶庫沒有哪一種商品,返場時裝
秋水共長天一色,落霞與孤鶩齊飛
秦時明月漢時關,萬裡長徵人未還
空山不見人,但聞人語響
突破到仙尊境界需要消耗多少靈石,無數
突破到仙帝境界之後，法力會發生什麼變化,無窮無盡
窗含西嶺千秋雪,門泊東吳萬裡船
竹外桃花三兩枝,春江水暖鴨先知
筆落驚風雨,詩成泣鬼神
粉身碎骨渾不怕,要留清白在人間
精衛靈界百族哪一族,羽族
紅杏枝頭春意鬧,綠楊煙外曉寒輕
紅色品質納靈石最高可儲存多少小時的額外訓練收益,40
紙上得來終覺淺,絕知此事要躬行
紫色突破丹藥可以降低多少比列的元神恢復時間,絕陣石
細雨魚兒出,微風燕子斜
總為浮雲能蔽日,長安不見使人愁
繁華事散逐香塵,流水無情草自春
羌笛何須怨楊柳,春風不度玉門關
美人捲珠簾,深坐蹙蛾眉
臨行密密縫,意恐遲遲歸
自是尋春去校遲,不須惆悵怨芳時
至今思項羽,不肯過江東
與紅拂女私奔的人是誰,李靖
舉世皆濁我獨清,眾人皆醉我獨醒
舉杯邀明月,對影成三人
舉頭望明月,低頭思故鄉
舊時王謝堂前燕,飛入尋常百姓家
花氣襲人知晝暖,雀聲穿樹喜新晴
草長鶯飛二月天,拂堤楊柳醉春煙
莫愁前路無知己,天下誰人不識君
莫笑農家臘酒渾,豐年留客足雞豚
萬仙聊天頻道是多少位面,5
萬妖寶境的周常開放時間是什麼時間開始,週三
萬妖寶境的基礎挑戰獎勵是萬妖果和什麼,萬妖魄
萬族征途玩法中，用於萬族鼎額外徵收道具,徵收令
萬紫千紅總是春,等閒識得東風面
萬裡悲秋常作客,百年多病獨登臺
落紅不是無情物,化作春泥更護花
葡萄美酒夜光杯,欲飲琵琶馬上催
藥園最多可以種植多少塊地,36
蘆蒿滿地蘆芽短,正是河豚欲上時
蘭陵美酒鬱金香,玉碗盛來琥珀光
蠟燭有心還惜別,替人垂淚到天明
裝備下列哪一個法寶能增加鬼使的攻擊繼承率,索
西塞山前白鷺飛,桃花流水鱖魚肥
西湖歌舞幾時休,山外青山樓外樓
解落三秋葉,能開二月花
解鎖《嘯月天決》功法需要下列哪一種靈獸到下品,幽冥蛟龍
解鎖《媚月寶典》功法需要下列哪一種靈獸到中品,玉瞳狐
解鎖隨身小道童需要多種道具,九玄仙玉
誰家玉笛暗飛聲,散入春風滿洛城
誰是東皇後人,黑帝
請君莫奏前朝曲,聽唱新翻楊柳枝
諸天絕技陣眼的升級可以提供,絕技倍率加成
路人借問遙招手,怕得魚驚不宜人
輪迴池不能獲得,造化玉
輪迴池升級出身等級需要消耗什麼道具,天運晶
轉軸撥弦三兩聲,未成曲調先有情
返景入深林,複照青苔上
造化演武的冠軍標誌是,造化三聖尊
遊戲 | 「此為呂仙觀雨所悟，劍出如驟雨，一劍疾出，速擊兩人次」形容那一神通,驟雨劍法
遊戲 一念逍遙中，天璇神砂的作用是什麼,提升礦脈品質
遊戲 一念逍遙中，天璇神砂的作用是什麼,提升礦脈品質 修改為丹效果加成
遊戲 下列哪一個不是輪迴池的出身,牛炬
遊戲 下列哪一個不是體修的修練境界,武極
遊戲 下列哪一個不是體修的修練境界,400
遊戲 下列哪一個仙決只能攻擊單一目標,神域咒
遊戲 下列哪一個古寶不是從天命賜福中獲得的,八荒鼎
遊戲 下列哪一個屬性無法透過古寶套裝獲得效果,龍吉公主
遊戲 下列哪一個本源無法透過天象獲得,流凰古界
遊戲 下列哪一個獎勵是可以透過小世界引靈獲得的,荒域
遊戲 下列哪一個神通消耗鬼使不在場也可以使用,幽判·無妄痴
遊戲 下列哪一個神通消耗鬼使在場也可以使用,幽判·無妄痴
遊戲 下列哪一個造化至寶可以幫助催熟靈植,掌天壺
遊戲 下列哪一個道具能夠提昇仙友感,碧玉晶
