分类,题目,答案
游戏,大道极巅玩法种获得的红色法器叫什么,极巅神兵图
游戏,解锁《啸月天决》功法需要以下哪种灵兽到下品,幽冥蛟龙
游戏,以下哪种道具可以领悟学习神通之法,神通要诀
游戏,红色品质纳灵石最高可储存多少小时的额外修炼收益,40
游戏,轮回池升级出身等级需要消耗什么道具,天运晶
游戏,每周开启多少次镇魔深渊玩法,3
游戏,拍卖行上架道具被其他仙友买走后将会获得哪种货币,机缘
游戏,炼器大会每日默认的炼器次数是多少,30
游戏,你第一次踏足的妖兽秘境是,野狼谷
游戏,每天会有几次神兽入侵,2
游戏,修炼速度超过全区分90%的仙友后，你会在洞府获得哪种评价,一日千里
游戏,装备以下哪个法宝能增加鬼使的气血继承率,面
游戏,橙品古宝从二星升到三星需要消耗多少古宝碎片,40
游戏,轮回池最先解锁的出身是,山野村夫
游戏,以下哪个仙灵绝技不能为自身提供屏障,菩提子
游戏,每天第一次购买功法点需要消耗多少机缘,50
游戏,以下哪种法宝只能攻击单个目标,印
游戏,中级灵脉的储量是,600
游戏,以下哪种古宝可以提供洞府灵气加成,聚灵玉璧
游戏,以下哪个神通不带有幻象效果,幽冥鬼境
游戏,想要飞升仙界需要经历什么,九重仙劫
游戏,以下哪个神通释放需要消耗自身气血,冥术·寂灭
游戏,五行法则中等级每高目标一级造成最大多少的额外伤害,0.0005
游戏,开启一次玄天造化图需要消耗多少造化玉简,200
游戏,宗门事务未达到上限的情况下，一天可以刷新多少个,5
游戏,想要获得道号 逆行为仙，需要累计突破境界失败多少次,100次
游戏,洞天兵主需要激活套装几阶才能获得,4
游戏,本命法宝祭灵进阶需要消耗哪种材料,玉衡
游戏,灵兽宝鉴中无法获得以下哪种道具,神秘灵兽袋
游戏,当修炼速度超过全区分99%的仙友后，你会在洞府获得哪种评价,得道飞升
游戏,诸天绝技阵的作用是,施展仙灵绝技
游戏,以下哪一个不是装备精炼所需要的材料,升星石
游戏,以下哪种古宝可以提供灵兽服用修为丹效果提升,妖神珠
游戏,想要获得道号八荒至尊，需要在八荒逐鹿中达成什么条件,击破第一
游戏,灵动丹可以增加哪种属性,法术闪避
游戏,想要获得道号 多宝道人，需要累计炼制多少件橙色装备,100
游戏,养成仙灵绝技不需要消耗以下哪种道具,瑶池玉液
游戏,以下哪种古宝不是主动古宝,冷霜古印
游戏,想要从人界飞升灵界，至少需要达到什么境界,化神对应境界
游戏,镇魔深渊的每一档挑战奖励有多少个玄晶石,90
游戏,铸宝升星除了铸宝碎片外，还需要什么材料,铸宝真玉
游戏,灵兽技能升级需要用到什么物品,伴妖草
游戏,橙品道法果可以进行多少小时的法则闭关效果,12时
游戏,仙魔决一届时间是多少,2周
游戏,镇魔深渊主要可以获得贡献和什么奖励,玄晶石
游戏,本命法宝法技进阶需要消耗哪种材料,机缘
游戏,开启一次乾坤社稷图需要消耗多少乾坤玉简,100
游戏,以下哪个评价不属于万妖宝境的伤害评价档位,绝伦
游戏,天道大会的冠军称号是,天道第一人
游戏,“魂钉无形，定魂离体，引颈受戮：非寻常之力可抵。”是形容哪一神通,离魂钉
游戏,无法通过悬赏令获得哪种奖励,造化至宝
游戏,八荒逐鹿活动是周几进行,周日
游戏,本命铸宝系统在本命法宝几阶时解锁,八阶
游戏,“此手法变化无穷，又具有金刚不坏之力，可谓武道乾阳之极。”形容哪一神通,封魔困龙手
游戏,以下哪个神通无需鬼使在场也可使用,幽判·无妄痴
游戏,中天南域/北域中增加基础气血百分比的节点属于哪种游历类型,中天奇宝
游戏,以下哪个古宝不是从天命赐福中获得的,八荒鼎
游戏,想要从合体修炼到大乘境界，需要过什么关,荧惑守心
游戏,仙魔决在非休赛期转移仙魔要花费原来几倍的机缘,3
游戏,渡劫时可以使用什么减少雷劫的伤害,灵盾
游戏,修仙者的化身修炼到什么境界时可以激活天赋,合体
游戏,下列哪一个不能从轮回池中获得,造化玉
游戏,八荒逐鹿活动单场最多几个宗门参与,4
游戏,以下哪个造化至宝可用于提纯丹药,星海瓶
游戏,修行之路的刷新间隔是多少天,14
游戏,仙魔宝鉴中无法获得以下哪种道具,橙色仙魔法宝
游戏,以下哪个道具无法用于提升仙友好感,碧玉晶
游戏,消耗轮回玉，修仙者可以在轮回池中经历什么,一世人生
游戏,藏经阁每周最多兑换几本神通要诀,3
游戏,一道年是多长时间,15分钟
游戏,以下哪个不是轮回池的出身,剑灵转世
游戏,仙灵月舞的绝技效果为,攻击八次并附加虚弱
游戏,紫色突破丹药可以增加多少突破概率,0.3
游戏,两名仙友想要结为道侣，双方都是初次结侣，需要多少机缘才能完成仪式,500
游戏,橙色突破丹药可以降低多少比例的元神恢复时间,1
游戏,每累计多少锻造值后，下次锻造必出紫色及以上的装备,100
游戏,以下哪种古宝可以提供洞府灵气加成,聚灵玉璧
游戏,以下哪个仙灵绝技可以净化自身减益,牛矩
游戏,以下哪个仙灵绝技不能回复自身气血,杨戬
游戏,以下哪一个不是古宝升星所需要的材料,探宝令
游戏,秘药无法增加以下哪种属性,会心倍率
游戏,宗门事务的事务令有什么作用,提升事务等级
游戏,一念逍遥中，天璇神砂的作用是什么,提高矿脉品质
游戏,以下哪个属性无法通过古宝套装效果获得,修为丹效果加成
游戏,提供药园浇灌时间加成属性的仙友录仙友是哪位,龙吉公主
游戏,小世界引灵需要消耗什么道具,寻仙命引
游戏,以下哪个铸宝是紫色品质的,灭灵神枪
游戏,“此为吕仙观雨所悟，剑出如骤雨，一剑疾出，速击俩次”形容哪一神通,骤雨剑法
游戏,“殃阴曹一角降世，罩此界灵土，削魂厄魄，如陷鬼沼”是形容哪一神通,冥术·阴曹暗荆
游戏,天地法则一共有几本,12
游戏,以下哪一项不是化身的天赋,丰缘
游戏,以下哪个造化至宝可以帮助催熟灵植,掌天壶
游戏,以下哪个本源无法通过天象获得,流凰古界
游戏,以下哪种效果可以和真元护盾同时存在,屏障
游戏,世界天道中无法获得以下哪种属性加成,神通伤害加成
游戏,以下哪个仙决只能攻击单个目标,神域咒
游戏,灵兽化形需要达到什么品质,珍品
游戏,外域探宝10次需要消耗多少机缘,2000
游戏,每500次神游三界可获得福赠奖励包括,自选绝技箱
