分类,题目,答案
诗词,一日看尽长安花，上句,春风得意马蹄疾
诗词,遗民泪尽胡尘里，下句,南望王师又一年
诗词,银烛秋光冷画屏，下句,轻罗小扇扑流萤
诗词,应怜屐齿印苍苔，下句,小扣柴扉久不开
诗词,又疑瑶台镜，下句,飞在青云端
诗词,欲把西湖比西子，下句,淡妆浓抹总相宜
诗词,欲穷千里目，下句,更上一层楼
诗词,远上寒山石径斜，下句,白云生处有人家
诗词,远近高低各不同，上句,横看成岭侧成峰
诗词,月落乌啼霜满天，下句,江枫渔火对愁眠
诗词,在地愿为连理枝，上句,在天愿作比翼鸟
诗词,折戟沉沙铁未销，下句,自将磨洗认前朝
诗词,直挂云帆济沧海，上句,长风破浪会有时
诗词,只缘身在此山中，上句,不识庐山真面目
诗词,只在此山中，下句,云深不知处
诗词,纸上得来终觉浅，下句,绝知此事要躬行
诗词,至今思项羽，下句,不肯过江东
诗词,竹外桃花三两枝，下句,春江水暖鸭先知
诗词,转轴拨弦三两声，下句,未成曲调先有情
诗词,壮心未与年俱老，下句,死去犹能做鬼雄
诗词,浊酒一杯家万里，下句,燕然未勒归无计
诗词,总为浮云能蔽日，下句,长安不见使人愁
诗词,醉卧沙场君莫笑，下句,古来征战几人回
