分类,题目,答案
剧情,上古凶兽饕餮象征着,贪婪
剧情,异界修士为什么入侵逍遥修仙界,灵气枯竭
剧情,大力师兄喜欢的凡人名字是哪个,秀儿
剧情,三界传说“一念遮天”中，谁主持了魔帝复活仪式,李长庚
剧情,芸娘身上有什么血脉,青鸾
剧情,三界传说“清虚旧梦”中，人界众多宗门为何会围攻清虚观,为了飞升之法
剧情,太极八卦中代表地的是,坤
剧情,三界传说“一念遮天”封印在神木古棺中的是谁,魔帝
剧情,三界传说“一念遮天”三界上千宗门和世界失踪的秘术与什么有关,轮回
剧情,三界传说百科记闻《长生启道书》中，主人公获得了什么修仙法门,长生诀
剧情,以下哪个古宝不属于破天三宝,诛邪剑
剧情,三界传说“一念遮天”，禁书与什么有关,轮回、重生
剧情,神话故事后羿射日中，后羿最终射下几个太阳,9
剧情,三界传说“一念遮天”/“剑归逍遥”清虚观失窃的秘术叫什么,清虚轮转术
剧情,三界传说“剑归逍遥”古剑界天机宗之女叫什么,鱼问桃
剧情,三界传说“一念遮天”魔帝的葬地在哪里,陨魔山
剧情,三界传说“剑归逍遥”大家是如何返回逍遥修仙界的,以剑破界
剧情,三界传说“一念遮天”李长庚灵蛟的天赋秘术能持续多久,一月
剧情,《清虚旧梦》中师傅为你炼制的法宝是,清虚宝衣
剧情,师傅坐化后，清虚观谁接替了掌门之位,大力师兄
剧情,在三界传说“一念遮天”清虚轮转术修炼到圆满可以达到什么状态,元神归墟
剧情,三界传说“一念遮天”凡人或修士死后，魂归冥府忘川，化为什么,忘川魂液
剧情,三界传说“一念遮天”胖道人是谁,吴良道士
剧情,“炉融万物生金液，真火百炼塑灵丹”指的是修仙六艺中的,炼丹
剧情,精卫填海，精卫是谁的女儿,炎帝
剧情,三界传说“剑归逍遥”是谁催熟了寒天灵樟,灵参
剧情,师傅竟猜挂在嘴边的一句话是，修行要义在于,从心所欲而不逾矩
剧情,三界传说“一念遮天”预言金在三界传说简中记载什么,成道路显
剧情,游戏中的大师姐叫什么名字,萧情
剧情,仙友红拂女在游戏中是什么种族,火灵族
剧情,异界至尊来自什么地方,大自在天
剧情,灵兽仙师的黑童子口中所说的灵狐一组是哪里的,青丘国
剧情,三界传说“一念遮天”预言金筒的主人是谁,天机老人
剧情,芸娘是什么身份,大妖血脉
剧情,三界传说“一念遮天”中，封印在神木古棺的是,魔帝
剧情,三界传说“一念遮天”中，三界上千宗门和世家失踪的秘术与什么有关,轮回
剧情,三界传说百科《长生启道书》中，主人公获得什么修仙法门,长生诀
剧情,三界传说“剑归逍遥”剑宗大比多少年一次,100年
剧情,你飞升仙界后，参加的第一场盛会是,天木大比
剧情,以下哪一位不是三皇之一,蚩尤
剧情,在三界传说“清虚旧梦”中，第二次回溯谁杀死了师傅,灵界修士
剧情,“清虚旧梦”中，第三次回溯，师傅为何而死,保护门人
剧情,“清虚旧梦”第一千一百二十三次回溯，天道变幻为什么,真龙
剧情,仙魔大战仙人炼制了四象御极至宝，以下古宝中，不属于此范畴的,真武焚魔剑
剧情,“一念遮天”中，清虚轮转术最终变成了,盘古轮转术
剧情,“剑归逍遥”中，古剑界天机宗之女的本命宝物叫什么,问天玄星盘
剧情,大力师兄为了增强实力，使用了什么修炼,血玉
剧情,“一念遮天”体外生出红毛而后消失不见的仙王是,御兽仙王
剧情,清虚旧梦，你共轮回了多少次,一千一百二十三次
剧情,太极八卦中代表天的是,乾
剧情,坊市老板娘的侄女是,芸丫
剧情,“剑归逍遥”中，剑宗药童服饰叫什么,药香宝衣
剧情,镇妖塔底的妖王是谁,鬼车
剧情,汉字的创造者是谁,仓颉
剧情,“一念遮天”中传闻最后一位道祖是谁,东皇太一
剧情,人界登仙台的来历是,灵界空间碎片
剧情,“一念遮天”谁是东皇的后人,黑帝
剧情,人界剧情中，论剑门人的真实名字是,灵珠子
剧情,清虚观属于人界什么洲,东胜神洲
剧情,人界能鉴定兽魂石的灵兽仙师出自什么宗门,御兽宗
剧情,“剑归逍遥”剑宗大比在哪里举办,洗剑池
剧情,鬼修支线中，修士误入了哪里,鬼门关
剧情,“一念遮天“中你借助什么挡下了不灭金刀,阴阳鱼佩
剧情,“剑归逍遥”中返回逍遥修仙界的关键之物是什么,寒天灵樟
剧情,“剑归逍遥”中小药童为何离开清虚观,被妖族蛊惑
剧情,大铸剑师共有几把绝世神剑,七把
剧情,远古时代，天塌地陷，将天空补好的是,女娲
剧情,“一念遮天”中，叶仙友是什么体质,圣体
剧情,“清虚旧梦”中，你是什么境界能够返回人界的,返虚中期对应境界
剧情,异界至尊是谁的弟子,白骨夫人
剧情,“一念遮天”中，远古时期是谁封印了远古魔族,天帝与西王母
剧情,“剑归逍遥”中，小药童以什么入道,以剑入道
剧情,“清虚旧梦”中，第二次回溯，鱼问桃通过什么卜卦,头发
剧情,“一念遮天”中，黑帝关键时刻带来了谁的法旨,东皇太一
剧情,“清虚旧梦”中，第二次回溯灵台宗为何背叛清虚观,帮助鱼问桃飞升
剧情,“剑归逍遥”中，你在藏经阁获得的剑诀叫什么,万剑诀
剧情,“一念遮天”中，复活的是鬼帝的什么,恶念
剧情,“剑归逍遥”中，大家被传送到什么地方,古剑界
剧情,鬼道异途中，为寻找鬼剑无名，摆渡使悬赏多少机缘,三千机缘
剧情,“一念遮天”中，李长庚施展禁术是为了什么,复活白蛟灵
剧情,“剑归逍遥”中，你是如何找到小药童的,寻气法阵
剧情,“剑归逍遥”中，是谁帮助大家返回逍遥修真界的,鱼问桃
剧情,须弥山是什么势力在灵界的代表,天庭
剧情,鬼道异途中，大师姐为什么要在阴阳之间独自修行,为了报仇
剧情,“剑归逍遥”中，剑宗核心弟子服饰是什么,玄剑藏锋
剧情,鬼帝沉姜在下界之前是什么身份,仙界星官
剧情,灵界鬼帝的名字是,沉姜
剧情,“一念遮天”中，叶仙友给你的防身法衣是什么凝聚而成的,玄黄母气
剧情,“一念遮天”中，未完善的清虚轮转术共有几层,三层
剧情,“剑归逍遥”绑架药童的坏人提出用什么交换小药童,清虚玄元图
剧情,灵界与巫族争斗数千年的是什么势力,灵族
剧情,灵界玉虚城主是谁,玉鼎真人
剧情,三界传说风物图志记载着三界什么的传说,天道大会
剧情,“一念遮天”中，魔帝帝子是谁杀死的,叶仙友
剧情,灵兽仙师来自御兽宗，他的名讳是,李长庚
剧情,太八卦中代表风的是,巽
剧情,登仙台原本是灵界那一族的归藏之地,灵族
剧情,“一念遮天”中，让红毛怪物暂时恢复清醒的宝物是什么,东皇钟
剧情,天木大典后，是谁假扮了“天狗”,黑无常
剧情,三界传说百科记闻中丹材品质最高品质是,仙品
剧情,金吒的师傅是谁,玉鼎真人
